date,sku,category,sales_units,sales_revenue
2022-01-31,SKU_001,Плащи,24,159164.9254800162
2022-01-31,SKU_002,Жакеты,33,455029.40142312844
2022-01-31,SKU_003,Пуховики,125,692214.9052500324
2022-01-31,SKU_004,Жакеты,32,333439.0901452067
2022-01-31,SKU_005,Жакеты,43,86290.89074038154
2022-01-31,SKU_006,Куртки,111,730756.8596902059
2022-01-31,SKU_007,Пуховики,135,804891.1080673409
2022-01-31,SKU_008,Пуховики,92,380928.4003589583
2022-01-31,SKU_009,Пуховики,122,1091065.819129451
2022-01-31,SKU_010,Жакеты,51,423442.27101100585
2022-01-31,SKU_011,Плащи,34,374056.7265374995
2022-01-31,SKU_012,Пуховики,118,649278.5200469319
2022-01-31,SKU_013,Жакеты,36,186250.74441195832
2022-01-31,SKU_014,Куртки,90,376900.5193423287
2022-01-31,SKU_015,Плащи,27,130786.24107014766
2022-01-31,SKU_016,Куртки,109,1008830.5368585724
2022-01-31,SKU_017,Плащи,19,137747.53425133607
2022-01-31,SKU_018,Жакеты,48,136492.76219600448
2022-01-31,SKU_019,Пальто,106,561895.440401527
2022-01-31,SKU_020,Плащи,24,125025.33160564357
2022-01-31,SKU_021,Куртки,121,1337286.621176987
2022-01-31,SKU_022,Жакеты,47,529197.3304438341
2022-01-31,SKU_023,Плащи,32,125604.16286061436
2022-01-31,SKU_024,Пальто,92,1377297.6201185344
2022-01-31,SKU_025,Пальто,77,421047.7952895603
2022-01-31,SKU_026,Пуховики,103,1513687.425859922
2022-01-31,SKU_027,Пуховики,109,800439.4478719337
2022-01-31,SKU_028,Куртки,126,306137.1004910983
2022-01-31,SKU_029,Плащи,25,162148.15560867195
2022-01-31,SKU_030,Плащи,30,307397.02443353186
2022-01-31,SKU_031,Пуховики,113,1225956.3083339524
2022-01-31,SKU_032,Плащи,38,338281.68415866536
2022-01-31,SKU_033,Плащи,29,226814.25304405554
2022-01-31,SKU_034,Пальто,93,854447.7446872356
2022-01-31,SKU_035,Пуховики,144,1397528.2671022248
2022-01-31,SKU_036,Жакеты,47,143401.382389289
2022-01-31,SKU_037,Пуховики,127,864299.5069573788
2022-01-31,SKU_038,Жакеты,35,180182.77191622878
2022-01-31,SKU_039,Пальто,100,1244081.6832938646
2022-01-31,SKU_040,Куртки,128,1038580.2557182079
2022-01-31,SKU_041,Плащи,23,340043.51912755804
2022-01-31,SKU_042,Пальто,81,581962.1378941144
2022-01-31,SKU_043,Плащи,25,315340.3587962998
2022-01-31,SKU_044,Куртки,113,1398768.9886023055
2022-01-31,SKU_045,Куртки,112,443444.7440136653
2022-01-31,SKU_046,Пальто,90,774592.568786641
2022-01-31,SKU_047,Куртки,112,1237103.446687524
2022-01-31,SKU_048,Жакеты,42,552663.907428291
2022-01-31,SKU_049,Куртки,119,742258.4263473157
2022-01-31,SKU_050,Плащи,21,102125.80598539469
2022-01-31,SKU_051,Плащи,29,326103.3737291327
2022-01-31,SKU_052,Плащи,29,363181.8943946727
2022-01-31,SKU_053,Плащи,31,202512.39287856693
2022-01-31,SKU_054,Жакеты,38,123511.21623916186
2022-01-31,SKU_055,Пуховики,122,1735669.8974805118
2022-01-31,SKU_056,Пальто,87,623653.9558499877
2022-01-31,SKU_057,Плащи,20,174615.35113714484
2022-01-31,SKU_058,Куртки,112,1443705.9142010696
2022-01-31,SKU_059,Плащи,31,334303.11716683017
2022-01-31,SKU_060,Куртки,117,1352263.7173652144
2022-01-31,SKU_061,Куртки,100,471793.10695902776
2022-01-31,SKU_062,Плащи,29,262125.88613299234
2022-01-31,SKU_063,Жакеты,58,640621.4371061919
2022-01-31,SKU_064,Куртки,102,507057.3289032194
2022-01-31,SKU_065,Куртки,118,504380.85816516605
2022-01-31,SKU_066,Плащи,34,502118.4077516105
2022-01-31,SKU_067,Куртки,107,932640.524757981
2022-01-31,SKU_068,Куртки,133,716973.6432817773
2022-01-31,SKU_069,Плащи,28,418636.3467118844
2022-01-31,SKU_070,Плащи,29,421963.0954358752
2022-01-31,SKU_071,Пальто,103,953554.9343799037
2022-01-31,SKU_072,Жакеты,55,741084.9853803779
2022-01-31,SKU_073,Жакеты,41,182580.8887459552
2022-01-31,SKU_074,Куртки,116,652537.9997090104
2022-01-31,SKU_075,Жакеты,48,533023.2859030092
2022-01-31,SKU_076,Куртки,111,1443732.0282498754
2022-01-31,SKU_077,Пальто,83,1089973.9109364618
2022-01-31,SKU_078,Плащи,29,210499.56392506568
2022-01-31,SKU_079,Плащи,32,433312.3610845593
2022-01-31,SKU_080,Плащи,32,417986.23468728526
2022-01-31,SKU_081,Жакеты,38,538203.687145148
