,Id,DateTime,LoanSerialNumber,IssuedDate,UserId,MainDebt,Status,Scor_Scorista,Scor_Scorista_Issued,FPD_30,Surplus_insur_60,Surplus_60,ltv_60,DPD_20_75,IsIssued
0,0,2023-01-01 00:00:00,0,2023-01-01 00:00:00,USER-0,11835.583735534257,Rejected,650.9795126046956,464.4016226624291,,,,,,0
1,1,2023-01-01 01:00:00,2,2023-01-01 01:00:00,USER-1,10654.450790710694,Cancellation,552.6108494438063,352.1497763391319,,,,,,0
2,2,2023-01-01 02:00:00,0,2023-01-01 02:00:00,USER-2,6108.463462582941,LoanReturned,830.4741886751675,369.4975737347188,0.0,1.123642901864086,0.19784322454146464,0.5112824804492639,0.0,1
3,3,2023-01-01 03:00:00,0,2023-01-01 03:00:00,USER-3,18610.73343294315,Rejected,420.43814804133103,399.369120499507,,,,,,0
4,4,2023-01-01 04:00:00,0,2023-01-01 04:00:00,USER-4,14822.100654750238,Rejected,623.3210287994174,412.0093339007216,,,,,,0
5,5,2023-01-01 05:00:00,0,2023-01-01 05:00:00,USER-5,26105.328777396106,Rejected,685.1155082446224,433.24399506579925,,,,,,0
6,6,2023-01-01 06:00:00,0,2023-01-01 06:00:00,USER-6,1931.1778339796892,Rejected,754.0604691399599,440.50301592992196,,,,,,0
7,7,2023-01-01 07:00:00,0,2023-01-01 07:00:00,USER-7,19672.169899098662,Cancellation,523.8340667354039,550.6439900181448,,,,,,0
8,8,2023-01-01 08:00:00,0,2023-01-01 08:00:00,USER-8,23125.517476835274,Rejected,677.8070492116149,580.2652549543227,,,,,,0
9,9,2023-01-01 09:00:00,0,2023-01-01 09:00:00,USER-9,23025.110506460904,Cancellation,466.7608092613555,469.8835644694958,,,,,,0
10,10,2023-01-01 10:00:00,0,2023-01-01 10:00:00,USER-10,26696.145045770227,Rejected,539.5118507990012,799.0130309564005,,,,,,0
11,11,2023-01-01 11:00:00,3,2023-01-01 11:00:00,USER-11,22141.978542055327,Cancellation,792.5949221618696,604.226847836425,,,,,,0
12,12,2023-01-01 12:00:00,0,2023-01-01 12:00:00,USER-12,27906.491787783194,Cancellation,822.4491851320249,733.1123104183737,,,,,,0
13,13,2023-01-01 13:00:00,0,2023-01-01 13:00:00,USER-13,10647.041394805852,LoanReturned,695.3495408099957,808.3308078314639,0.0,1.5226623899585658,0.9713078167942526,0.6278372347989305,0.0,1
14,14,2023-01-01 14:00:00,0,2023-01-01 14:00:00,USER-14,15593.07308579475,LoanReturned,505.8935399269018,389.72431301669286,0.0,0.016507876130060904,1.1530444977185996,0.6376469909055531,0.0,1
15,15,2023-01-01 15:00:00,0,2023-01-01 15:00:00,USER-15,1408.3102352038295,Rejected,751.0317844860652,535.330966043599,,,,,,0
16,16,2023-01-01 16:00:00,0,2023-01-01 16:00:00,USER-16,1201.7700317954452,Rejected,314.2268949489811,538.2657209430348,,,,,,0
17,17,2023-01-01 17:00:00,0,2023-01-01 17:00:00,USER-17,7963.671993094077,Rejected,356.5102507966816,494.9597377410948,,,,,,0
18,18,2023-01-01 18:00:00,0,2023-01-01 18:00:00,USER-18,3923.4087170334724,Rejected,663.7555550064486,304.89822660340195,,,,,,0
19,19,2023-01-01 19:00:00,0,2023-01-01 19:00:00,USER-19,8546.129670136856,Cancellation,460.1867163985316,748.7846592779522,,,,,,0
20,20,2023-01-01 20:00:00,0,2023-01-01 20:00:00,USER-20,6134.255541323525,LoanReturned,823.2624201202627,361.3576268546465,0.0,1.6654520331184919,0.2847406779809426,0.5953731922416591,0.0,1
21,21,2023-01-01 21:00:00,0,2023-01-01 21:00:00,USER-21,1827.080720320799,LoanReturned,539.8333366507676,847.5143288569674,0.0,0.05044897332183805,0.7423000786222219,0.6835269599111923,1.0,1
